Sentence #,Sentence,POS,Tag,Token,New_Tag
Sentence: 77,""" And I think they 'll want a one-stop shop in terms of combining security , immigration , customs , and quarantine together  just to make sure it 's more streamlined and provides more certainty . ""","['``', 'CC', 'PRP', 'VBP', 'PRP', 'MD', 'VB', 'DT', 'JJ', 'NN', 'IN', 'NNS', 'IN', 'VBG', 'NN', ',', 'NN', ',', 'NNS', ',', 'CC', 'VB', 'RB', ',', 'RB', 'TO', 'VB', 'JJ', 'PRP', 'VBZ', 'JJR', 'JJ', 'CC', 'VBZ', 'JJR', 'NN', '.', '``']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['``', 'And', 'I', 'think', 'they', ""'ll"", 'want', 'a', 'one-stop', 'shop', 'in', 'terms', 'of', 'combining', 'security', ',', 'immigration', ',', 'customs', ',', 'and', 'quarantine', 'together', 'just', 'to', 'make', 'sure', 'it', ""'s"", 'more', 'streamlined', 'and', 'provides', 'more', 'certainty', '.', '``']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Sentence: 189,"U.S. Senator John Warner of the southeastern state of Virginia , a prominent Republican figure in the debate over the war in Iraq , says he will retire after finishing his term in 2009 .","['NNP', 'NNP', 'NNP', 'NNP', 'IN', 'DT', 'JJ', 'NN', 'IN', 'NNP', ',', 'DT', 'JJ', 'JJ', 'NN', 'IN', 'DT', 'NN', 'IN', 'DT', 'NN', 'IN', 'NNP', ',', 'VBZ', 'PRP', 'MD', 'VB', 'IN', 'VBG', 'PRP$', 'NN', 'IN', 'CD', '.']","['B-gpe', 'B-per', 'I-per', 'I-per', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-tim', 'O']","['U.S', '.', 'Senator', 'John', 'Warner', 'of', 'the', 'southeastern', 'state', 'of', 'Virginia', ',', 'a', 'prominent', 'Republican', 'figure', 'in', 'the', 'debate', 'over', 'the', 'war', 'in', 'Iraq', ',', 'says', 'he', 'will', 'retire', 'after', 'finishing', 'his', 'term', 'in', '2009', '.']","['B-LOC', 'B-PER', 'I-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'O']"
Sentence: 326,"Mr. Obama made his comments in the White House Rose Garden Monday as he nominated an African-American woman , Regina Benjamin , to become the U.S. Surgeon General .","['NNP', 'NNP', 'VBD', 'PRP$', 'NNS', 'IN', 'DT', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'IN', 'PRP', 'VBD', 'DT', 'JJ', 'NN', ',', 'NNP', 'NNP', ',', 'TO', 'VB', 'DT', 'NNP', 'NNP', 'NNP', '.']","['B-per', 'I-per', 'O', 'O', 'O', 'O', 'O', 'B-art', 'I-art', 'I-art', 'I-art', 'B-tim', 'O', 'O', 'O', 'O', 'B-gpe', 'O', 'O', 'B-per', 'I-per', 'O', 'O', 'O', 'O', 'B-gpe', 'B-per', 'I-per', 'O']","['Mr.', 'Obama', 'made', 'his', 'comments', 'in', 'the', 'White', 'House', 'Rose', 'Garden', 'Monday', 'as', 'he', 'nominated', 'an', 'African-American', 'woman', ',', 'Regina', 'Benjamin', ',', 'to', 'become', 'the', 'U.S', '.', 'Surgeon', 'General', '.']","['B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'I-MISC', 'I-MISC', 'I-MISC', 'B-MISC', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'B-LOC', 'B-PER', 'I-PER', 'O']"
Sentence: 449,"Mr. Obama made the announcement Friday during a visit to a window manufacturer located outside of Washington , D.C.","['NNP', 'NNP', 'VBD', 'DT', 'NN', 'NNP', 'IN', 'DT', 'NN', 'TO', 'DT', 'NN', 'NN', 'VBN', 'IN', 'IN', 'NNP', ',', 'NNP']","['B-per', 'I-per', 'O', 'O', 'O', 'B-tim', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'B-geo']","['Mr.', 'Obama', 'made', 'the', 'announcement', 'Friday', 'during', 'a', 'visit', 'to', 'a', 'window', 'manufacturer', 'located', 'outside', 'of', 'Washington', ',', 'D.C', '.']","['B-PER', 'I-PER', 'O', 'O', 'O', 'B-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'B-LOC']"
Sentence: 575,"The name "" Latvia "" originates from the ancient Latgalians , one of four eastern Baltic tribes that formed the ethnic core of the Latvian people ( ca. 8th - 12th centuries A.D. ) .","['DT', 'NN', '``', 'NNP', '``', 'VBZ', 'IN', 'DT', 'JJ', 'NNS', ',', 'CD', 'IN', 'CD', 'JJ', 'NNP', 'NNS', 'WDT', 'VBD', 'DT', 'JJ', 'NN', 'IN', 'DT', 'JJ', 'NNS', 'LRB', 'NN', 'CD', ':', 'JJ', 'NNS', 'NNP', 'RRB', '.']","['O', 'O', 'O', 'B-art', 'O', 'O', 'O', 'O', 'O', 'B-org', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-gpe', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-tim', 'O', 'O']","['The', 'name', '``', 'Latvia', '``', 'originates', 'from', 'the', 'ancient', 'Latgalians', ',', 'one', 'of', 'four', 'eastern', 'Baltic', 'tribes', 'that', 'formed', 'the', 'ethnic', 'core', 'of', 'the', 'Latvian', 'people', '(', 'ca', '.', '8th', '-', '12th', 'centuries', 'A.D.', ')', '.']","['O', 'O', 'O', 'B-MISC', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'O', 'O']"
Sentence: 954,"Aides to U.S. Senator - and former first lady - Hillary Rodham Clinton have confirmed that the New~York senator has invited supporters from the state of Iowa to her Washington , D.C. home for a private political fundraising event .","['NNS', 'TO', 'NNP', 'NNP', ':', 'CC', 'JJ', 'JJ', 'NN', ':', 'NNP', 'NNP', 'NNP', 'VBP', 'VBN', 'IN', 'DT', 'NNP', 'NN', 'VBZ', 'VBN', 'NNS', 'IN', 'DT', 'NN', 'IN', 'NNP', 'TO', 'PRP$', 'NNP', ',', 'NNP', 'NN', 'IN', 'DT', 'JJ', 'JJ', 'NN', 'NN', '.']","['O', 'O', 'B-org', 'B-per', 'B-org', 'O', 'O', 'O', 'O', 'O', 'B-per', 'I-per', 'I-per', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'B-geo', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Aides', 'to', 'U.S', '.', 'Senator', '-', 'and', 'former', 'first', 'lady', '-', 'Hillary', 'Rodham', 'Clinton', 'have', 'confirmed', 'that', 'the', 'New~York', 'senator', 'has', 'invited', 'supporters', 'from', 'the', 'state', 'of', 'Iowa', 'to', 'her', 'Washington', ',', 'D.C.', 'home', 'for', 'a', 'private', 'political', 'fundraising', 'event', '.']","['O', 'O', 'B-ORG', 'B-PER', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'B-LOC', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Sentence: 1312,"Also removed were A.J. Tabaldo and Leslie Hunt , who both sang Nina Simone 's "" Feeling Good "" .","['RB', 'VBN', 'VBD', 'NNP', 'NNP', 'CC', 'NNP', 'NNP', ',', 'WP', 'DT', 'VBD', 'NNP', 'NNP', 'POS', '``', 'VBG', 'JJ', '``', '.']","['O', 'O', 'O', 'B-org', 'I-org', 'I-org', 'I-org', 'I-org', 'O', 'O', 'O', 'O', 'B-geo', 'I-geo', 'O', 'O', 'O', 'O', 'O', 'O']","['Also', 'removed', 'were', 'A.J', '.', 'Tabaldo', 'and', 'Leslie', 'Hunt', ',', 'who', 'both', 'sang', 'Nina', 'Simone', ""'s"", '``', 'Feeling', 'Good', '``', '.']","['O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'B-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'O']"
Sentence: 1539,"The agreement gives Peru permanent , duty-free access to the U.S.","['DT', 'NN', 'VBZ', 'NNP', 'JJ', ',', 'JJ', 'NN', 'TO', 'DT', 'NNP']","['O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'B-org']","['The', 'agreement', 'gives', 'Peru', 'permanent', ',', 'duty-free', 'access', 'to', 'the', 'U.S', '.']","['O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG']"
Sentence: 1699,"A number of foreign dignitaries attended the inauguration , including former U.S. President George H.W. Bush .","['DT', 'NN', 'IN', 'JJ', 'NNS', 'VBD', 'DT', 'NN', ',', 'VBG', 'JJ', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-per', 'I-per', 'I-per', 'I-per', 'I-per', 'O']","['A', 'number', 'of', 'foreign', 'dignitaries', 'attended', 'the', 'inauguration', ',', 'including', 'former', 'U.S.', 'President', 'George', 'H.W', '.', 'Bush', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'I-PER', 'I-PER', 'I-PER', 'O']"
Sentence: 1741,"Syria 's U.N. Ambassador Fayssal Mekdad insisted Wednesday that his country has been cooperating with Iraq by deploying 10,000 troops on the border , erecting barriers and arresting hundreds of potential infiltrators .","['NNP', 'POS', 'NNP', 'NNP', 'NNP', 'NNP', 'VBD', 'NNP', 'IN', 'PRP$', 'NN', 'VBZ', 'VBN', 'VBG', 'IN', 'NNP', 'IN', 'VBG', 'CD', 'NNS', 'IN', 'DT', 'NN', ',', 'VBG', 'NNS', 'CC', 'VBG', 'NNS', 'IN', 'JJ', 'NNS', '.']","['B-geo', 'O', 'B-org', 'I-org', 'I-org', 'I-org', 'O', 'B-tim', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Syria', ""'s"", 'U.N', '.', 'Ambassador', 'Fayssal', 'Mekdad', 'insisted', 'Wednesday', 'that', 'his', 'country', 'has', 'been', 'cooperating', 'with', 'Iraq', 'by', 'deploying', '10,000', 'troops', 'on', 'the', 'border', ',', 'erecting', 'barriers', 'and', 'arresting', 'hundreds', 'of', 'potential', 'infiltrators', '.']","['B-LOC', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'B-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
